strategy_name, timestamp, symbol, side, leverage, price
eth_futures,1630211534597,ETHUSDT,OUT,0.0,3169.0
eth_spot,1630211545385,ETHUSDT,OUT,1,3181.18000000
btc_spot,1630771749551,BTCUSDT,OUT,1,49766.33000000
btc_futures,1630771887919,BTCUSDT,OUT,1,49934.0
btc_levier,1630790309725,BTCUSDT,LONG,0.562380562213529,50193.0
btc_levier,1630790376744,BTCUSDT,OUT,1,50186.0
btc_levier,1631036143399,BTCUSDT,SHORT,-7.930534665633541,46989.0
btc_spot,1631036155506,BTCUSDT,OUT,1,47008.27000000
eth_futures,1631036166115,ETHUSDT,OUT,1,3475.0
btc_futures,1631036177698,BTCUSDT,SHORT,-0.8618472025410852,47034.0
eth_spot,1631036185851,ETHUSDT,OUT,1,3477.37000000
btc_futures,1631203560620,BTCUSDT,OUT,1,46961.0
btc_levier,1631635926023,BTCUSDT,OUT,1,46780.0
eth_levier,1631678783021,ETHUSDT,LONG,6.514883464538548,3390.0
bnb_spot,1631707388419,BNBUSDT,LONG,1,426.30000000
bnb_futures,1631707883189,BNBUSDT,LONG,0.9053761441129717,429.0
eth_spot,1631722335198,ETHUSDT,LONG,1,3518.55000000
btc_spot,1631722351623,BTCUSDT,LONG,1,48360.77000000
eth_futures,1631722365062,ETHUSDT,LONG,0.9048858934766248,3522.0
btc_futures,1631722924078,BTCUSDT,LONG,0.8933584666074113,48280.0
btc_futures,1631809462960,BTCUSDT,OUT,1,48029.0
btc_spot,1631809977767,BTCUSDT,OUT,1,48033.66000000
bnb_futures,1631837016627,BNBUSDT,OUT,1,424.0
bnb_spot,1631837142680,BNBUSDT,OUT,1,423.60000000
eth_futures,1631880881678,ETHUSDT,OUT,1,3428.0
eth_spot,1631880892868,ETHUSDT,OUT,1,3425.38000000
eth_levier,1631909014413,ETHUSDT,OUT,1,3408.0
eth_futures,1631924015088,ETHUSDT,SHORT,-0.9006106153802229,3399.0
eth_levier,1631952257430,ETHUSDT,LONG,6.592628079161534,3518.0
eth_futures,1631952271170,ETHUSDT,OUT,1,3514.0
btc_levier,1631952289656,BTCUSDT,LONG,10.131359294005199,48670.0
eth_futures,1631962908469,ETHUSDT,LONG,0.9660323484274939,3531.0
eth_levier,1631969626037,ETHUSDT,OUT,1,3496.0
eth_levier,1631969697614,ETHUSDT,LONG,7.600765629697048,3490.0
eth_levier,1631969729021,ETHUSDT,OUT,1,3491.0
eth_futures,1631969833073,ETHUSDT,OUT,1,3493.0
btc_levier,1631969915642,BTCUSDT,OUT,1,48383.0
btc_levier,1631969967384,BTCUSDT,LONG,10.800447749285114,48381.0
eth_levier,1631970048972,ETHUSDT,LONG,7.648017605794286,3497.0
btc_levier,1631997323148,BTCUSDT,OUT,1,47946.0
eth_levier,1632009798679,ETHUSDT,OUT,1,3429.0
eth_futures,1632024350676,ETHUSDT,SHORT,-0.9003148147006405,3412.0
btc_levier,1632110968624,BTCUSDT,SHORT,-11.04903372480854,45409.0
eth_levier,1632111059039,ETHUSDT,SHORT,-9.076268298035696,3173.0
bnb_futures,1632111704275,BNBUSDT,SHORT,-0.8964274422281234,391.0
btc_futures,1632125065568,BTCUSDT,SHORT,-0.8792574267410836,44782.0
btc_futures,1632326603948,BTCUSDT,OUT,1,43282.0
bnb_futures,1632355440043,BNBUSDT,OUT,1,378.0
eth_levier,1632384346139,ETHUSDT,OUT,1,3140.0
eth_futures,1632384361355,ETHUSDT,OUT,1,3141.0
eth_spot,1632715571094,ETHUSDT,LONG,1,3137.12000000
eth_futures,1632715633878,ETHUSDT,LONG,0.9039853578917711,3137.0
btc_levier,1632715715652,BTCUSDT,OUT,1,43996.0
eth_levier,1632715769545,ETHUSDT,LONG,7.877432914840835,3137.0
eth_futures,1632758723140,ETHUSDT,OUT,1,3041.0
eth_spot,1632758771966,ETHUSDT,OUT,1,3047.89000000
eth_levier,1632773426280,ETHUSDT,OUT,1,2969.0
btc_levier,1632788221242,BTCUSDT,SHORT,-3.529613221549879,42169.0
eth_futures,1632788289950,ETHUSDT,SHORT,-0.8948875390574094,2918.0
btc_futures,1632816197580,BTCUSDT,SHORT,-0.8782657968226081,41765.0
btc_futures,1632902672816,BTCUSDT,OUT,1,42396.0
bnb_spot,1632931374935,BNBUSDT,LONG,1,368.40000000
bnb_futures,1632931601418,BNBUSDT,LONG,0.9035450460588448,369.0
btc_futures,1632945809820,BTCUSDT,SHORT,-0.8795086868450203,41207.0
eth_futures,1632974695520,ETHUSDT,OUT,1,3044.0
btc_futures,1632974806443,BTCUSDT,OUT,1,43650.0
btc_levier,1632974818283,BTCUSDT,OUT,1,43641.0
eth_levier,1633061705175,ETHUSDT,LONG,9.64899266598055,3010.0
eth_spot,1633075887773,ETHUSDT,LONG,1,3105.21000000
eth_futures,1633075920809,ETHUSDT,LONG,0.9028699186774479,3101.0
btc_levier,1633090246262,BTCUSDT,LONG,5.200285023825483,47625.0
btc_spot,1633090282278,BTCUSDT,LONG,1,47617.22000000
btc_futures,1633090314820,BTCUSDT,LONG,0.8697796980351044,47615.0
btc_futures,1633320213030,BTCUSDT,OUT,1,47381.0
btc_spot,1633320235384,BTCUSDT,OUT,1,47385.33000000
btc_futures,1633536217944,BTCUSDT,LONG,0.8890218908959954,54908.0
btc_spot,1633539152134,BTCUSDT,LONG,1,54772.01000000
btc_spot,1633838591106,BTCUSDT,OUT,1,55162.52000000
btc_futures,1633838606959,BTCUSDT,OUT,1,55165.0
eth_levier,1633896586065,ETHUSDT,OUT,1,3524.0
eth_futures,1633910750065,ETHUSDT,OUT,1,3393.0
eth_spot,1633910763346,ETHUSDT,OUT,1,3396.45000000
eth_futures,1633939536426,ETHUSDT,LONG,0.9054283639811511,3613.0
eth_spot,1633939581418,ETHUSDT,LONG,1,3600.18000000
eth_levier,1633954052330,ETHUSDT,LONG,7.0956138586678215,3578.0
btc_spot,1633972240081,BTCUSDT,LONG,1,57415.53000000
btc_futures,1633973610636,BTCUSDT,LONG,0.8656765491469709,57390.0
eth_levier,1633983165140,ETHUSDT,OUT,1,3476.0
eth_spot,1634011594039,ETHUSDT,OUT,1,3482.13000000
eth_futures,1634011622903,ETHUSDT,OUT,1,3485.0
btc_spot,1634069006058,BTCUSDT,OUT,1,55169.99000000
btc_futures,1634069022869,BTCUSDT,OUT,1,55165.0
eth_futures,1634112302419,ETHUSDT,SHORT,-0.9029518988542851,3431.0
eth_futures,1634142323761,ETHUSDT,OUT,1,3495.0
btc_spot,1634155716282,BTCUSDT,LONG,1,57433.76000000
btc_futures,1634155735174,BTCUSDT,LONG,0.8984226176085705,57436.0
eth_spot,1634170023148,ETHUSDT,LONG,1,3626.31000000
eth_levier,1634170082384,ETHUSDT,LONG,8.475110718993601,3634.0
eth_futures,1634170100374,ETHUSDT,LONG,0.905091792607846,3631.0
bnb_futures,1634501017006,BNBUSDT,OUT,1,457.0
bnb_spot,1634501032895,BNBUSDT,OUT,1,458.30000000
bnb_spot,1634529811623,BNBUSDT,LONG,1,471.40000000
bnb_futures,1634530289882,BNBUSDT,LONG,0.8950002177388813,471.0
eth_futures,1634558718860,ETHUSDT,OUT,1,3737.0
eth_spot,1634558794928,ETHUSDT,OUT,1,3735.21000000
eth_levier,1634587473801,ETHUSDT,OUT,1,3742.0
eth_levier,1634616274553,ETHUSDT,LONG,7.1792528833851,3838.0
eth_futures,1634691435305,ETHUSDT,LONG,0.9003335951919338,3878.0
eth_spot,1634691446416,ETHUSDT,LONG,1,3873.31000000
btc_futures,1634832473226,BTCUSDT,OUT,1,63263.0
btc_spot,1634832491535,BTCUSDT,OUT,1,63180.00000000
eth_futures,1634936469564,ETHUSDT,OUT,1,3982.0
eth_levier,1634936491975,ETHUSDT,OUT,1,3981.0
eth_spot,1634936900536,ETHUSDT,OUT,1,3979.43000000
btc_levier,1634947511377,BTCUSDT,OUT,1,60645.0
eth_spot,1634961907804,ETHUSDT,LONG,1,4035.38000000
eth_levier,1634961950425,ETHUSDT,LONG,7.0577518380305575,4038.0
eth_futures,1634962016719,ETHUSDT,LONG,0.9037852416936152,4039.0
btc_levier,1635091412386,BTCUSDT,SHORT,-3.4681221811758074,59900.0
btc_levier,1635120205140,BTCUSDT,OUT,1,60955.0
btc_levier,1635177800550,BTCUSDT,LONG,4.627879716335977,63630.0
btc_levier,1635235395286,BTCUSDT,OUT,1,62559.0
btc_levier,1635337014429,BTCUSDT,SHORT,-5.954025077359831,58759.0
btc_futures,1635337038761,BTCUSDT,SHORT,-0.8484454770977028,58775.0
eth_spot,1635337200670,ETHUSDT,OUT,1,3997.75000000
bnb_futures,1635337200985,BNBUSDT,SHORT,-0.904073652768327,454.0
eth_futures,1635337324341,ETHUSDT,SHORT,-0.9073214637742232,4004.0
eth_levier,1635337349304,ETHUSDT,OUT,1,4005.0
bnb_spot,1635337412487,BNBUSDT,OUT,1,453.36341308
btc_levier,16354226 86455,BTCUSDT,OUT,1,61045.0
btc_futures,1635422709049,BTCUSDT,OUT,1,61053.0
eth_spot,1635422717817,ETHUSDT,LONG,1,4153.70000000
eth_futures,1635422890083,ETHUSDT,LONG,0.941422874235861,4157.0
bnb_futures,1635423537172,BNBUSDT,OUT,1,479.49
bnb_spot,1635437087341,BNBUSDT,LONG,1,453.36341308
bnb_futures,1635437170130,BNBUSDT,LONG,0.9027697604804104,488.0
eth_levier,1635437826727,ETHUSDT,LONG,8.413375093494853,4193.0
btc_levier,1635537808873,BTCUSDT,LONG,7.2506833786722655,62317.0
btc_levier,1635566655604,BTCUSDT,OUT,1,61812.0
eth_futures,1635681971148,ETHUSDT,OUT,1,4181.0
eth_spot,1635681978563,ETHUSDT,OUT,1,4178.53000000
eth_levier,1635696315662,ETHUSDT,OUT,1,4220.0
eth_levier,1635725711596,ETHUSDT,LONG,7.219761677114323,4317.0
eth_futures,1635725758537,ETHUSDT,LONG,0.9040401400628566,4316.0
eth_spot,1635736264842,ETHUSDT,LONG,1,4236.38576612
eth_spot,1635740168060,ETHUSDT,OUT,1,4236.38576612
eth_levier,1635740202389,ETHUSDT,OUT,1,4198.1
eth_futures,1635740292874,ETHUSDT,OUT,1,4197.17
eth_spot,1635768372654,ETHUSDT,LONG,1,4338.76566614
eth_futures,1635768542695,ETHUSDT,LONG,0.9030658173294615,4342.0
eth_levier,1635768587064,ETHUSDT,LONG,18.368114263265632,4350.0
btc_levier,1635855505181,BTCUSDT,LONG,6.269611253660596,63263.0
btc_spot,1635869085060,BTCUSDT,LONG,1,64138.74800669
btc_spot,1635941541659,BTCUSDT,OUT,1,64138.74800669
btc_levier,1635955404306,BTCUSDT,OUT,1,62265.62
btc_levier,1636057449744,BTCUSDT,SHORT,-7.980868304307485,61431.0
btc_levier,1636085136188,BTCUSDT,OUT,1,62277.0
btc_levier,1636128977270,BTCUSDT,SHORT,-8.947363115002121,60891.0
